Date,Beta,P/S,P/B,P/E,EPS,ROE,ROA,ROC
5/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
6/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
7/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
8/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
9/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
10/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
11/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
12/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
13/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
14/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
15/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
16/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
17/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
18/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
19/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
20/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
21/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
22/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
23/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
24/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
25/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
26/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
27/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
28/2/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
1/3/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
2/3/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
3/3/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
4/3/2025,0.96,12.74,6.27,26.77,5697.00,5.87,2.99,8.38
